Deutsch,English
Hast du [etwas] gesagt?,Did you say something?
Sie ging [in die Küche].,She went to the kitchen.
Er ist jetzt [in der Küche].,He's in the kitchen now.
Seid ihr [in das Cafe] gegangen?,Did you go to the cafe?
Sie sind [zum Bahnhof gegangen.,They went to the station.
[Ich möchte] selber fahren.,I want to drive myself.
"Nein, [ich möchte nicht].","No, I don't want to."
Wir sind [in einem Cafe].,We are in a cafe.
"Ja, wir haben [ein bisschen] Zeit.","Yes, we have a little time."
[Was machst du] heute Abend?,What are you doing tonight?
Ich bin heute [Abend] zu Hause.,I'll be home tonight.
Das ist [unser Auto].,This is our car.
[Wir hatten] viel zu tun.,We had a lot to do.
[Möchtest du] mit mir mitkommen?,Would you like to come with me?
Das ist eine [gute] Idee.,That's a good idea.
ich werde [ins Kino] gehen.,I'm going to the movies.
Das ist eine [schlechte] Idee.,That's a bad idea.
[Ich esse] dreimal am Tag.,I eat three times a day.
[Ich esse kein] Fleisch.,I don't eat meat.
[Guten Appetit]!,Bon appétit!
Bist du dir [sicher]?,Are you sure?
"[Ja], ich bin mir sicher.","Yes, I'm sure."
[Ich muss] nach Hause [gehen].,I have to go home.
[Sie geht] nach Berlin.,She's going to Berlin.
[Wir sind] Brüder.,We are brothers.
Heute gehe ich nicht [zur Arbeit].,Today I'm not going to work.
Ich werde [zu Hause] bleiben.,I'll stay at home.
gehst du jetzt [ins Büro]?,Are you going to the office now?
"Nein, ich gehe jetzt [nach Hause].","No, I'm going home now."
Wo [bist du]?,Where are you?
"[Hallo, mein Name ist] Tobias.","Hello, my name is Tobias."
[Ich hätte gerne] einen Kaffee.,I would like a coffee.
Ich warte auf einen [sehr wichtigen] Anruf.,I'm waiting for a very important call.
"Es ist unglaublich, [aber] es ist wahr.","It's unbelievable, but it's true."
"Ich esse, [weil] ich hungrig bin. ",I eat because I am hungry. 
Mir gefällt [das andere] Auto besser.,I like the other car better.
Ich bin [gerade] in München.,I'm in Munich right now.
[Bist du] schon mal in Zürich [gewesen]?,Have you ever been to Zurich?
Da [bin ich nicht gewesen].,I haven't been there.
[Wann] fährst du dahin?,When are you going there?
[Es gibt keine] freien Tische.,There are no free tables.
"[Entschuldige, aber] ich höre dich nicht gut.","Sorry, but I can't hear you very well."
Wie war deine [Woche]?,How was your week?
Er ist [ein guter Freund] von mir.,He is a good friend of mine.
[Sie hat] viele Freunde in anderen Ländern.,She has many friends in other countries.
Das ist [ein schönes Auto].,This is a nice car.
Das ist [eine gute Idee].,It is a good idea.
Wir sind [gute Freunde].,We are good friends.
[Komm] her!,Come here.
[Wohin] gehst du?,Where are you going?
[Und] was werden wir [jetzt] tun?,What are we going to do?
"[Ich dachte], du hättest Zeit.",I thought you had time.
Ist es für mich [oder] für dich?,Is it for me or for you?
Ich werde [in einer Woche] nach Paris fahren.,I'm going to Paris in a week.
[Hast du] zwei Minuten für mich?,Do you have two minutes for me?
[Wir sind] essen [gegangen].,We went out for dinner.
Ich habe mir [einen neuen Laptop] gekauft.,I bought a new laptop.
Ich brauche [ein neues Auto].,I need a new car.
"[Der große Hund] ist freundlich, der kleine aber nicht.","The big dog is friendly, but the little dog is not."
[Mein großer Hund] ist sehr freundlich.,My big dog is very friendly.
[Ich verstehe] dich sehr gut.,I understand you very well.
"[Ich verstehe nicht], was du sagst.",I don't understand what you are saying.
[Darf ich] Ihre Bestellung aufnehmen?,May I take your order?
[Was nimmst du]?,What are you taking?
"[Klar], warum nicht?","Sure, why not?"
[Aber wieso]?,But why?
[Wir haben] ein Problem.,We have a problem.
[Wir haben nicht] den ganzen Nachmittag Zeit.,We don't have all afternoon.
[Wie alt bist du]?,How old are you?
Er ist vierzig [Jahre] alt.,He's forty.
[Guten Abend]!,Good evening!
Es ist zu [heiß].,It's too hot.
Es ist zu [kalt] hier.,It's too cold here.
[Wir müssen] reden.,We need to talk.
"Ich denke, dass [du sehr schön bist].",I think you are very beautiful.
[Wer] ist das?,Who is this?
ist das [für mich]?,is that for me?
"Ja, das ist [für dich].","Yes, that's for you."
Das ist [einfach].,That's easy.
[Das war] einfach.,That was easy.
Ich hätte gerne [einen Kaffee].,I'd like a coffee.
Hast du [diesen Film] schon gesehen?,Have you seen this movie yet?
Es ist ein [interessanter Film].,It's an interesting movie.
[Was hast] du heute [gemacht]?,What did you do today?
Ich bin [vorher] noch nicht in Berlin gewesen.,I haven't been to Berlin before.
[Ich brauche] Hilfe.,I need help.
[Ich muss] auf die Toilette gehe.,I need to go to the bathroom.
[Ich reise gerne] alleine.,I like to travel alone.
Das sind [meine Freunde] Jens und Johanna.,These are my friends Jens and Johanna.
[Unser] Flug geht in einer Stunde.,Our flight leaves in an hour.
[Ich habe] das [nicht verstanden].,I didn't understand.
[Was werden wir tun]?,What are we going to do?
Wie sagt man das auf [Deutsch]?,How do you say it in German?
[Was machst du] dort?,What are you doing there?
[Ich hatte keine] Zeit.,I didn't have time.
[Ich werde] mit einem Freund [gehen].,I'm going with a friend.
[Ich bin in einem Cafe] in der Innenstadt.,I'm in a cafe downtown.
Gestern [Nacht] konnte ich nicht schlafen.,Last night I couldn't sleep.
"Ja, [ich muss jetzt gehen].","Yes, I have to go now."
"Das ist [das Auto, das] er kaufen will.",This is the car he wants to buy.
"Hier sind [die Dokumente, die] wir brauchen.",Here are the documents we need.
"Sind das [die Schuhe, die] du gestern gekauft hast?",Are these the shoes you bought yesterday?
"Wo ist [der Stift, den] du mir gestern gegeben hast?",Where's the pen you gave me yesterday?
"Also, [kommst du] oder nicht?","So, are you coming or not?"
[Möchtest du] etwas essen?,Do you want something to eat?
Mir gefällt [dieser da] am meisten.,I like this one the most.
[Ich wusste] das.,I knew you would.
[Genau]!,Exactly!
[Wir kommen] morgen.,We'll come tomorrow.
"Ich glaube, dass es [besser] ist.",I think it's better.
"Ist es [möglich], mit Karte zu zahlen?",Is it possible to pay by card?
Sie haben [eine große Familie].,You have a big family.
[Ich bin] hier schon mal [gewesen].,I've been here before.
Es ist da drüben! [In dieser Richtung].,It's over there! That way.
Alle [Geschäfte] sind heute geschlossen.,All the stores are closed today.
[Du kannst es nehmen].,You can take it.
Welcher Tag ist [heute]?,What day is it today?
Heute ist [Mittwoch].,Today is Wednesday.
[Wo ist] das Badezimmer?,Where is the bathroom?
[Wie viel] kostet das?,How much is it?
[Ich bevorzuge] grünen Tee.,I prefer green tea.
[Ich liebe dich] auch.,I love you too.
[Ich bin einverstanden].,I agree.
"Ja, ich komme [mit dir].","Yes, I'll come with you."
"Ja, [warum nicht]! Ich würde mich freuen!","Yes, why not! I would be glad!"
[Geht es dir gut]?,Are you all right?
Wir gehen heute Abend ins [Restaurant].,We're going to the restaurant tonight.
[Er ist] zum Laden [gegangen].,He went to the store.
Was machst du [dort]?,What are you doing there?
Der Laptop [von meinem Freund] ist schon alt.,My friend's laptop is old.
Das ist das Auto [meiner Mutter].,That's my mom's car.
Hast du schon mit dem Vater [des Kindes] gesprochen?,Have you talked to the kid's father yet?
"Ja, ich habe [mit ihm] gestern gesprochen.","Yes, I talked to him yesterday."
Ich habe das Geld [den Kindern] gegeben.,I gave the money to the kids.
[Was ist das]?,What is it?
[Gute Nacht]!,Good night!
"Ist es [möglich], mit karte zu zahlen?",Is it possible to pay by card?
Ich liebe dich [sehr].,I love you very much.
[Ich hatte] heute einen beschäftigten Tag.,I had a busy day today.
Du denkst [zu viel]!,You think too much!
"Danke, aber das ist nicht nötig.","Thank you, but it is not necessary."
Ich werde in zehn Minuten ankommen.,I will arrive in ten minutes.
Hast du mit ihm geredet?,Did you talk to him?
Er hat heute frei.,It's his day off.
Gefällt dir diese Frau?,Do you like this woman?
Warte einen Moment.,Wait a minute.
Er ist nicht sehr stark.,He's not very strong.
Hast du Kinder?,Do you have children?
"Hast du verstanden, was er gesagt hat?",Did you understand what he said?
Ich möchte das Gleiche bestellen.,I'd like to order the same thing.
Ich nehme es.,I'll take it.
"Es ist anders, als du denkst.",It's different from what you think.
Das ist das Gleiche.,It's the same.
Ich konnte nicht kommen.,I couldn't come.
Kennst du diesen Mann da?,Do you know that man there?
Bist du beschäftigt wie immer?,Are you busy as usual?
Mein Beruf ist sehr interessant.,My job is very interesting.
Ich werde um sechs Uhr ankommen.,I'll arrive at six.
Kann ich jetzt gleich oder später bezahlen?,Can I pay now or later?
Wir gehen jetzt nach Hause.,We're going home now.
Ich möchte dir etwas sagen.,I want to tell you something.
Ich weiß sehr wenig über ihn.,I know very little about him.
Ich habe schon gegessen.,I've already eaten.
Ich mache ein bisschen Kaffee.,I'll make some coffee.
Ich habe noch nicht gegessen.,I haven't eaten yet.
Möchtest du etwas essen?,Would you like to eat something?
Was hast du gestern gemacht?,What did you do yesterday?
Ich habe Kaffee gemacht.,I made coffee.
Wir sind seit zwanzig Jahren befreundet.,We've been friends for twenty years.
Wir hatten gestern ein Meeting.,We had a meeting yesterday.
Spricht hier irgendjemand Englisch?,Does anyone here speak English?
Ich bin zum ersten Mal hier.,It's my first time here.
"Dieses Kleid, wie viel kostet es?","This dress, how much is it?"
Das ist das letzte Mal.,This is the last time.
Ich kann diesmal selber bezahlen.,I can pay myself this time.
Das ist echt komisch.,That's really weird.
Wir sind gestern angekommen.,We arrived yesterday.
Was hat er gestern gemacht?,What did he do yesterday?
Wir gehen morgen Abend zu ihnen.,We're going to their place tomorrow night.
Magst du Kaffee?,Do you like coffee?
Ich mag Tee lieber.,I like tea better.
Das ist eine lange Geschichte.,It's a long story.
Diese Hose ist zu kurz für mich.,These pants are too short for me.
Es ist nie zu spät.,It's never too late.
"Die Rechnung, bitte. Ich möchte bezahlen.","The bill, please. I'd like to pay."
Ich habe diesen Film gestern gesehen.,I saw this movie yesterday.
Ich werde diesen Film morgen sehen.,I'll see this movie tomorrow.
Gehst du ins Restaurant?,Are you going to the restaurant?
Kannst du mir damit helfen?,Can you help me with this?
Sie verkauft Blumen.,She sells flowers.
Welche Art von Schokolade magst du?,What kind of chocolate do you like?
Wir müssen bald gehen.,We have to leave soon.
Ich wollte mit dir sprechen.,I wanted to talk to you.
Sie spricht sieben Sprachen.,She speaks seven languages.
Kann ich dir helfen?,Can I help you?
"Sie hatte Recht, wie immer.","She was right, as usual."
Ich mache viele unterschiedliche Sachen.,I do many different things.
Was willst du jetzt machen?,What do you want to do now?
Wie viel kostet das?,How much is it?
Ich möchte ein Glas Weißwein.,I want a glass of white wine.
Ich muss eine neue Wohnung finden.,I have to find a new apartment.
So funktioniert das nicht.,It doesn't work like that.
Das ist sehr einfach.,It's very simple.
Ich habe einen interessanten Artikel gefunden.,I found an interesting article.
Hier oder zum Mitnehmen?,Here or to go?
Ich habe eine kleine Familie.,I have a small family.
Er mochte die Show.,He liked the show.
Ich muss Blumen kaufen.,I have to buy flowers.
Er war mit seiner Frau im Kino.,He went to the movies with his wife.
Ich möchte nur Tee.,I just want tea.
Wo ist das Badezimmer?,Where is the bathroom?
Wir essen keinen Zucker.,We don't eat sugar.
Was ist der Name dieser Straße?,What is the name of this street?
Das ist normal!,That's normal!
Noch ist nichts entschieden.,Nothing is decided yet.
"Es wäre besser, mit ihm zu reden.",It would be better to talk to him.
Es ist eine große Stadt.,It's a big city.
Diese kleine Stadt liegt im Süden Italiens.,This small town is in the south of Italy.
"Vielleicht ist es besser, wenn ich nicht kommen.",Maybe it's better if I don't come.
Ich musste früher gehen.,I had to leave early.
Ich fahre in einen fünfwöchigen Urlaub.,I'm going on a five-week vacation.
Hab ein schönes Wochenende!,Have a nice weekend!
Ich suche das Stadtzentrum.,I'm looking for the center of town.
Das ist perfekt!,That's perfect!
Ich gucke gerne Komödien.,I like to watch comedies.
Hast du heute Abend schon was vor?,Do you have plans tonight?
Du hast Recht!,You're right!
Meine Arbeit ist wirklich interessant.,My work is really interesting.
Es ist jetzt oder nie.,It's now or never.
Wie spät ist es?,What time is it?
Es ist sieben Uhr fünfzehn.,It's seven fifteen.
Ich werde zwei Wochen da sein.,I'll be there for two weeks.
"Ich habe ferngesehen, statt zu lernen.",I've been watching TV instead of studying.
Wo genau ist der Supermarkt?,Where exactly is the supermarket?
Ich bin beschäftigt wie immer.,I'm busy as usual.
Ich habe im letzten Jahr in drei unterschiedlichen Ländern gelebt.,I've lived in three different countries in the last year.
Es ist drei Uhr dreißig.,It's three thirty.
"Ich glaube, dass ich um acht ankommen werde.",I think I will arrive at eight.
"ich denke, dass es eine gute Idee ist.",I think it's a good idea.
Gehst du oft ins Kino?,Do you go to the movies often?
"Entschuldigen Sie bitte, ist dieser Platz frei?","Excuse me, is this seat free?"
Wir müssen gehen.,We have to go.
Sie wohnen in Haus Nummer elf.,You live in house number eleven.
"Keine Sorge, ich habe Geld.","Don't worry, I have money."
Ich habe etwas für dich.,I have something for you.
Bist du beschäftigt wie immer?,Are you busy as usual?
Unsere Familie hatte schon immer Hunde.,Our family has always had dogs.
Ich werde jetzt duschen gehen.,I'm going to take a shower.
Sie ist die Frau von einem meiner Freunde.,She's the wife of one of my friends.
Ich habe mich verirrt. Wo ist das Stadtzentrum?,I'm lost. Where's the center of town?
Bist du bereit?,Are you ready?
Lass uns um acht Uhr treffen.,Let's meet at eight.
Musst du schon gehen?,Do you have to go already?
Ich verstehe dich sehr gut.,I understand you very well.
"Ich freue mich, dich zu sehen.",I'm glad to see you.
"Ich verstehe nicht, was du sagst.",I don't understand what you're saying.
Er ist im Moment nicht hier.,He's not here right now.
Ich werde das später machen.,I'll do it later.
Du solltest mehr essen. Du bist sehr dünn.,You should eat more. You're very thin.
Ich habe das schon gemacht.,I've already done that.
Er wird um sieben Uhr ankommen.,He will arrive at seven.
"Wenn du möchtest, können wir auch Englisch sprechen.","If you want, we can speak English."
Es ist nicht weit von hier.,It's not far from here.
Ich suche nach einem Hotel.,I'm looking for a hotel.
Ich habe vergessen Reis zu kaufen.,I forgot to buy rice.
Hast du etwas gesagt?,Did you say something?
Ich habe Bargeld.,I have cash.
Das ist sehr kompliziert.,It's very complicated.
"Denkst du, das ist eine gute Idee?",Do you think it's a good idea?
Bitte zahlen Sie an der Kasse.,Please pay at the cash register.
Unsere Mannschaft hat zwei zu null verloren.,Our team lost two to zero.
Es ist eine stressige Situation.,It's a stressful situation.
Ist ihr Kind ein Junge oder ein Mädchen?,Is your child a boy or a girl?
"Ich liebe es, auf dem Land zu leben.",I love living in the country.
Wir haben gestern einen wirklich guten Film gesehen.,We saw a really good movie yesterday.
All das muss zwischen uns bleiben.,All this has to stay between us.
Kennst du Tobias?,Do you know Tobias?
"Es ist zu weit, um hinzulaufen.",It's too far to walk there.
Danach habe ich einen Monat Urlaub.,I have a month's vacation after this.
Ich habe das vorher nicht gewusst.,I didn't know that before.
Sie sind Freunde.,They are friends.
Wir wollen reisen gehen.,We want to go traveling.
Ich wohne seit Januar in dieser Wohnung.,I've been living in this apartment since January.
Wir müssen Äpfel kaufen.,We have to buy apples.
Ich bin für den ganzen Sommer hier.,I'm here for the whole summer.
"Ich bin gekommen, um zu sagen, dass es mir leid tut.",I came to say I'm sorry.
Ich erinnere mich an ihn.,I remember him.
Ich erinnere mich nicht.,I don't remember.
Wir werden in dreißig Minuten ankommen.,We'll arrive in thirty minutes.
"Nein, ich hasse es. ","No, I hate it. "
Wir haben zusammen im Garten gegessen.,We ate together in the garden.
Ich gehe immer essen.,I always go out to eat.
Sein Haus ist sehr modern.,His house is very modern.
Möchtest du Kaffee oder Tee?,Would you like coffee or tea?
Wir können zusammen gehen.,We can go together.
Ich benutze meinen Computer jeden Tag.,I use my computer every day.
Einen schönen Tag dir!,Have a nice day!
Was ist unsere Zimmernummer?,What is our room number?
Das ist meine Schuld. Entschuldige. ,It's my fault. Sorry. 
Dieses Gericht ist hervorragend.,This dish is excellent.
Danke. Du bist sehr nett.,Thank you. You're very kind.
"Diese Bluse ist hässlich, um ganz ehrlich zu sein.","This blouse is ugly, to be perfectly honest."
Diese Frau ist sehr hübsch.,This woman is very pretty.
Ich brauche noch fünf Minuten.,I need five more minutes.
Das funktioniert nicht sehr gut.,This is not working very well.
"Entschuldigen Sie bitte, wie viel kostet das?","Excuse me, how much is this?"
Natürlich verstehe ich.,Of course I understand.
Ich benutze dieses Handy nicht.,I'm not using this phone.
Ich bin im Moment auf der Arbeit.,I'm at work right now.
"Nein, ich kann nicht kommen! Es tut mir leid.","No, I can't come! I'm sorry."
"Ja, es funktioniert gut.","Yes, it works fine."
"Vier Tassen grünen Tee, bitte. ","Four cups of green tea, please. "
Meine Eltern haben mir sehr geholfen.,My parents helped me a lot.
Alles ist auf dem Tisch.,Everything is on the table.
"Wir wissen, dass es möglich ist.",We know it is possible.
Ich würde gerne deine Meinung hören.,I would like to hear your opinion.
Er weiß wo ich bin.,He knows where I am.
Sie mag nicht dieselben Sachen wie ich.,She doesn't like the same things I do.
Ich werde den Bus nehmen.,I'll take the bus.
Nichts Neues unter der Sonne,Nothing new under the sun
"Ich werde versuchen, es morgen zu machen.",I'll try to make it tomorrow.
Manchmal ruft meine Mutter mich zu oft an.,Sometimes my mother calls me too often.
Mein Vater leitet zahlreiche Firmen.,My father runs many companies.
Ich möchte Deutsch lernen.,I want to learn German.
Das ist großartig.,That's great.
Er ist nicht zu alt für dich.,He is not too old for you.
Möchtest du für immer jung bleiben?,Do you want to stay young forever?
Komm und guck dieses Video mit mir.,Come and watch this video with me.
Ich lerne schon seit drei Monaten Deutsch.,I've been learning German for three months.
Ich kann ohne Kaffee nicht leben.,I can't live without coffee.
Ich lerne im Moment Deutsch. ,I'm learning German at the moment. 
"Ich kann Deutsch verstehen, aber ich kann es nicht sprechen.","I can understand German, but I can't speak it."
Wir haben unsere Tante letzte Woche besucht.,We visited our aunt last week.
Alle sind hier.,Everybody is here.
In welche Richtung sollten wir gehen?,Which direction should we go?
Heute ist Montag.,Today is Monday.
Er arbeitet jedes Wochenende.,He works every weekend.
Das ist genug! Danke.,That's enough! Thank you.
Ich habe sechs Monate lang in Peking gelebt.,I lived in Beijing for six months.
Ich werde für ein Jahr nach Australien gehen.,I'm going to Australia for a year.
Hab einen schönen Abend.,Have a nice evening.
Wir müssen einige Vorbereitungen treffen.,We have some preparations to make.
"Ich glaube, du arbeitest zu viel.",I think you work too much.
"Keineswegs, es ist ziemlich günstig.","Not at all, it's pretty cheap."
Wir essen keinen Käse.,We don't eat cheese.
Haben wir Orangensaft?,Do we have orange juice?
Hast du eine Kreditkarte?,Do you have a credit card?
Ist das teuer?,Is it expensive?
Ich esse kein Hähnchen.,I don't eat chicken.
Der Burger war wirklich lecker.,That burger was really tasty.
"Schön, oder?","Nice, right?"
Es war ein sehr gutes Wochenende.,It was a very good weekend.
Wann ist das?,When is this?
Das ist ein sehr komischer Film.,It's a very funny movie.
Wir haben eine Flasche Sekt bestellt.,We ordered a bottle of champagne.
Er ist sehr attraktiv.,He's very attractive.
Sie sind nicht zu Hause.,They're not at home.
Sie ist wirklich charmant.,She's really charming.
Deine Eltern sind sehr nett.,Your parents are very nice.
Ich muss zurück ins Büro gehen.,I have to go back to the office.
Das ist in unserem Land sehr geläufig.,It's very common in our country.
Die Konferenz ist in drei Monaten.,The conference is in three months.
Wann geht dein Flug?,When is your flight?
Ich komme in zehn Minuten.,I'll be there in ten minutes.
Ich habe eine Überraschung für dich.,I have a surprise for you.
Ich möchte eine Tasse Kaffee.,I want a cup of coffee.
Es sind nur hundert Euro.,It's only a hundred euros.
Du wirst jeden Tag schöner und schöner.,You get more and more beautiful every day.
Das ist eine unglaubliche Geschichte.,That's an incredible story.
"Ich mache das später, wenn ich mehr Zeit habe.",I'll do it later when I have more time.
Es ist unser letzter Tag in Hamburg.,It's our last day in Hamburg.
"Es gibt da etwas, was ich dir sagen möchte.",There is something I want to tell you.
Es ist sehr traurig.,It's very sad.
Möchtest du diesen Abend zu mir kommen?,Would you like to come to my place this evening?
Ich bin fast bereit zu gehen.,I'm almost ready to go.
Wir haben viele Jahre lang zusammen gearbeitet.,We have worked together for many years.
"Es ist die beste Zeit, um in die Stadt zu gehen.",It's the best time to go to the city.
Da ist im Moment nicht viel Verkehr.,There's not much traffic right now.
Wir haben morgens ein Meeting.,We have a meeting in the morning.
"Meine Frau und ich, wir sind im Gymnasium in die gleiche Klasse gegangen.","My wife and I, we went to the same class in high school."
Gestern war Donnerstag.,Yesterday was Thursday.
Ich habe die Tür geschlossen und den Schlüssel drinnen gelassen.,I closed the door and left the key inside.
Vergiss nicht mich anzurufen.,Don't forget to call me.
Ich vergesse immer die Namen von Menschen.,I always forget people's names.
Ich höre gerne online Radio.,I like to listen to the radio online.
Wir können im Moment nicht kommen.,We can't come right now.
Das ist eine lange Geschichte.,It's a long story.
Willkommen in Deutschland.,Welcome to Germany.
Ich habe viele gute Freunde.,I have many good friends.
Er steht jeden Morgen um acht Uhr auf.,He gets up at eight every morning.
"Also, du musst in fünf Minuten fertig sein.","So, you have to be ready in five minutes."
"Es stimmt, dass ich als Gymnasiallehrer gearbeitet habe.",It's true that I worked as a high school teacher.
Möchtest du noch etwas?,Do you want anything else?
Wir sind mit der Arbeit für heute fertig.,We've finished work for today.
Wir mögen chinesisches Essen.,We like Chinese food.
"Ich arbeite ständig und habe es versäumt, Zeit mit meinen Freunden zu verbringen.",I work all the time and missed spending time with my friends.
Magst du seine Lieder?,Do you like his songs?
Das hat mir nicht gefallen.,I didn't like it.
Normalerweise gehe ich freitags und samstags aus.,I usually go out on Fridays and Saturdays.
Ein bisschen mehr bitte.,A little more please.
Versuche es nochmal.,Try again.
Das war nur ein Spaß.,I was just kidding.
"Das ist genug, danke.","That's enough, thank you."
Ich werde in sieben Minuten ankommen.,I'll be arriving in seven minutes.
Das ist meine neue Tasche.,This is my new bag.
Das ist eine gute Frage.,That's a good question.
Ich habe viel Gutes über diesen Film gehört.,I've heard a lot of good things about this movie.
"Ich habe bereits, nein gesagt.",I already said no.
Ich habe ihre Freunde gestern zum ersten Mal getroffen.,I met her friends for the first time yesterday.
War noch jemand da?,Was anyone else there?
"Es spielt keine Rolle, ob du jetzt oder in einer Stunde gehst.",It doesn't matter if you go now or in an hour.
Hast du meine E-Mail erhalten?,Did you get my e-mail?
Wer ist dein Lieblingsspieler?,Who's your favorite player?
Aus irgendeinem Grund scheint sie immer unglücklich zu sein.,"For some reason, she always seems unhappy."
Ich habe deine E-Mail nicht erhalten.,I didn't get your e-mail.
Ein interessanter Film beginnt in einer Stunde.,An interesting movie starts in an hour.
Du kannst mein Handy benutzen.,You can use my cell phone.
Was bedeutet dieses Wort?,What does this word mean?
Dieser Film hat vor zwei Stunden begonnen.,This movie started two hours ago.
Das ist mir egal.,I don't care.
Ich habe genug Zeit.,I have enough time.
Er hat acht ähnliche Hemden.,He has eight similar shirts.
Fühlst du dich gut?,Do you feel good?
"Ja, ich fühle mich gut.","Yes, I feel fine."
Ich möchte schlafen. Ich bin müde.,I want to sleep. I'm tired.
Wie viel kostet diese Hose?,How much are these pants?
Das ist mein neuer Mantel.,This is my new coat.
Mach bitte deine Zigarette aus.,"Put out your cigarette, please."
Kann ich dich um einen Gefallen bitten?,Can I ask you a favor?
Wie lange wirst du da sein?,How long will you be there?
Sie ist zum ersten Mal in Europa.,It's her first time in Europe.
Diese Maschine funktioniert automatisch.,This machine works automatically.
Bitte sprechen Sie langsamer.,Please speak more slowly.
Ich liebe diesen Ort.,I love this place.
"Ich bin mir sicher, dass es dir gefallen wird.",I'm sure you'll like it.
Es ist besser als nichts.,It's better than nothing.
"Ich habe verstanden, was du sagen wolltest.",I understood what you wanted to say.
Ich werde diesen nehmen.,I'll take this one.
Wo ist dein Vater?,Where's your father?
Wir kommen später.,We'll come later.
Sie hat viele gute Ideen.,She has many good ideas.
Dieser Preis ist zu hoch.,This price is too high.
Wann schließen die Geschäfte am Samstag?,What time do the stores close on Saturday?
Die Stimmung dieses Teams ist sehr niedrig.,The mood of this team is very low.
Du siehst deinem Bruder sehr ähnlich.,You look a lot like your brother.
Was bedeutet dieser Satz?,What does this sentence mean?
Er ist vor drei Tagen angekommen.,It arrived three days ago.
"Ich finde, du bist die schönste Frau der Welt!",I think you are the most beautiful woman in the world!
Das macht vierzehn Euro.,That's fourteen euros.
Geht es deiner Schwester gut?,Is your sister well?
Ich würde sehr gerne kommen.,I would love to come.
Ich habe die Kinokarten schon online gekauft.,I already bought the movie tickets online.
"Das Wetter ist richtig schlecht heute, oder?","The weather is really bad today, isn't it?"
Ich habe deine E-Mail-Adresse meinem Kollegen gegeben.,I gave your email address to my colleague.
Was werden wir diesen Sonntag machen?,What are we going to do this Sunday?
Lass uns etwas anderes gucken.,Let's watch something else.
Wo sind die Anderen?,Where are the others?
Möchtest du zusammen gehen?,Do you want to go together?
"Ich mag es nicht, alleine ins Kino zu gehen.",I don't like going to the movies alone.
Wir haben eine kleine Überraschung für dich.,We have a little surprise for you.
Kommst du mit uns?,Are you coming with us?
Ich habe einige Fragen.,I have some questions.
Ich wollte nicht darüber reden.,I didn't want to talk about it.
Sie sprechen kein Englisch.,You don't speak English.
Ich habe zwei Jahre lang Klavier gelernt.,I learned piano for two years.
Ich habe in der Schule kein Deutsch gelernt.,I didn't learn German at school.
Grüß deine Familie von mir.,Say hello to your family for me.
Welches Bier möchten Sie?,What kind of beer do you want?
Was ist deine Nummer?,What is your number?
Mach bitte den Fernseher an.,"Turn on the TV, please."
Es wird nicht einfach sein.,It won't be easy.
Er hat mir viele Fragen gestellt.,He asked me a lot of questions.
Ich gebe dir meine Antwort sobald wie möglich.,I'll give you my answer as soon as I can.
